tag,method,acc,nll,brier,ece
idc,Linear,0.830500,0.420964,0.248545,0.034484
idc,kNN,0.820500,0.992637,0.264170,0.038200
idc,LabelSpreading,0.809750,0.535287,0.289009,0.070280
idc,GM,0.628250,23.353157,0.988409,0.616910
idc,GM-flat,0.629000,23.270035,0.987713,0.617204
idc,GM-instance,0.671750,14.873289,0.903133,0.573213
idc,GM-centroid,0.500000,27.631020,1.000000,0.500000
idc,kNN-budget(P=32),0.753250,0.537045,0.353785,0.121675
