tag,method,acc,t_fit,t_pred,n_train,n_test,K,n_classes
moons_2class_fixed,Linear,0.868750,0.00251798,0.00018555,1200,800,-,2
moons_2class_fixed,kNN,0.986250,0.00087202,0.02625570,1200,800,-,2
moons_2class_fixed,LP,0.987500,0.00740762,0.00000110,1200,800,-,2
moons_2class_fixed,GM,0.958750,0.13401581,0.02313489,1200,800,32,2
moons_2class_fixed,GM-flat,0.960000,0.07985801,0.02295805,1200,800,32,2
moons_2class_fixed,GM-instance,0.988750,0.02724115,0.19818162,1200,800,1200,2
moons_2class_fixed,GM-centroid,0.845000,0.00025307,0.04068459,1200,800,2,2
moons_2class_fixed,kNN-budget(P=32),0.857500,0.00096363,0.04132716,32,800,32,2
moons_multiclass_fixed,Linear,0.864167,0.00931364,0.00024709,1800,1200,-,6
moons_multiclass_fixed,kNN,0.979167,0.00104127,0.03813678,1800,1200,-,6
moons_multiclass_fixed,LP,0.978333,0.01382159,0.00000132,1800,1200,-,6
moons_multiclass_fixed,GM,0.855833,0.16913354,0.04990587,1800,1200,48,6
moons_multiclass_fixed,GM-flat,0.854167,0.16497130,0.05027077,1800,1200,48,6
moons_multiclass_fixed,GM-instance,0.981667,0.05561058,0.47682836,1800,1200,1800,6
moons_multiclass_fixed,GM-centroid,0.848333,0.00037774,0.08983039,1800,1200,6,6
moons_multiclass_fixed,kNN-budget(P=48),0.838333,0.00089309,0.04884111,48,1200,48,6
