tag,method,acc,t_fit,t_pred,n_train,n_test,K
circles_2class_fixed,Linear,0.500000,0.00199716,0.00018186,675,800,-
circles_2class_fixed,kNN,0.990000,0.00071563,0.02795207,675,800,-
circles_2class_fixed,LabelSpreading,0.992500,0.00000000,0.00000000,675,800,-
circles_2class_fixed,GM,0.796250,0.10124459,0.02369198,675,800,32
circles_2class_fixed,GM-flat,0.807500,0.00000000,0.02336379,675,800,32
circles_2class_fixed,GM-instance,0.990000,0.01103786,0.20513282,675,800,675
circles_2class_fixed,GM-centroid,0.478750,0.00019138,0.02229944,675,800,2
circles_2class_fixed,GM→LP(sklearn),0.992500,0.00000000,0.00000000,675,800,675
circles_2class_fixed,kNN-budget(P=32),0.500000,0.00061295,0.02664865,32,800,32
