tag,method,acc,t_fit,t_pred,n_train,n_test,K
idc,Linear,0.831841,9.06653264,0.15284022,80000,13850,-
idc,kNN,0.816029,0.05892947,12.34009718,80000,13850,-
idc,LabelSpreading,0.791336,0.00000000,42.57984853,80000,13850,-
idc,GM,0.741733,11296.01770033,7.35140619,80000,13850,2000
idc,GM-flat,0.741733,0.00000000,7.05327148,80000,13850,2000
idc,GM-instance,0.737184,136.59245738,1689.62676698,80000,13850,80000
idc,GM-centroid,0.720000,0.07180131,0.13435622,80000,13850,2
idc,kNN-budget(P=2000),0.788809,0.00127104,0.07068624,2000,13850,2000
