tag,method,acc,nll,brier,ece
idc,Linear,0.831841,0.393731,0.245472,0.016604
idc,kNN,0.816029,0.824815,0.290440,0.045690
idc,LabelSpreading,0.791336,0.479768,0.294731,0.027349
idc,GM,0.727292,27.169392,0.994974,0.722568
idc,GM-flat,0.727509,27.162260,0.994851,0.722643
idc,GM-instance,0.724549,27.246466,0.995952,0.720780
idc,GM-centroid,0.720072,27.631021,1.000000,0.720072
idc,kNN-budget(P=2000),0.788809,0.730996,0.321497,0.043776
