tag,method,acc,t_fit,t_pred,n_train,n_test,K
circles_2class_fixed,GM-flat,0.966000,0.00000000,0.12224717,1125,2000,112
circles_2class_fixed,GM-instance,0.991500,0.02748073,0.35497411,1125,2000,1125
circles_2class_fixed,GM-centroid,0.495500,0.00038953,0.10181421,1125,2000,2
circles_2class_fixed,GM→LP(sklearn),0.993000,0.00000000,0.00000000,1125,2000,1125
circles_2class_fixed,kNN-budget(P=112),0.859000,0.00116444,0.07083654,112,2000,112
moons_2class_fixed,Linear,0.856000,0.00298136,0.00018529,2000,2000,-
moons_2class_fixed,kNN,0.936500,0.00115815,0.06665369,2000,2000,-
moons_2class_fixed,LabelSpreading,0.934000,0.00000000,0.00000000,2000,2000,-
moons_2class_fixed,GM,0.939000,0.91098692,0.14830630,2000,2000,200
moons_2class_fixed,GM-flat,0.939000,0.00000000,0.14261524,2000,2000,200
moons_2class_fixed,GM-instance,0.937500,0.07329615,0.71859013,2000,2000,2000
moons_2class_fixed,GM-centroid,0.843000,0.00036376,0.10112179,2000,2000,2
moons_2class_fixed,GM→LP(sklearn),0.934000,0.00000000,0.00000000,2000,2000,2000
moons_2class_fixed,kNN-budget(P=200),0.937000,0.00104560,0.07142926,200,2000,200
moons_2class_fixed,Linear,0.772500,0.00274203,0.00019301,1125,2000,-
moons_2class_fixed,kNN,0.884000,0.00088707,0.06562296,1125,2000,-
moons_2class_fixed,LabelSpreading,0.895000,0.00000000,0.00000000,1125,2000,-
moons_2class_fixed,GM,0.776000,0.33546580,0.13211961,1125,2000,112
moons_2class_fixed,GM-flat,0.772000,0.00000000,0.12242765,1125,2000,112
moons_2class_fixed,GM-instance,0.881500,0.02664569,0.37740078,1125,2000,1125
moons_2class_fixed,GM-centroid,0.847000,0.00036632,0.10153712,1125,2000,2
moons_2class_fixed,GM→LP(sklearn),0.895000,0.00000000,0.00000000,1125,2000,1125
moons_2class_fixed,kNN-budget(P=112),0.670500,0.00118310,0.07057390,112,2000,112
moons_2class_fixed,Linear,0.765500,0.00238844,0.00018707,1125,2000,-
moons_2class_fixed,kNN,0.862500,0.00087203,0.06624247,1125,2000,-
moons_2class_fixed,LabelSpreading,0.884000,0.00000000,0.00000000,1125,2000,-
moons_2class_fixed,GM,0.805500,0.33832169,0.13708127,1125,2000,112
moons_2class_fixed,GM-flat,0.805000,0.00000000,0.12235093,1125,2000,112
moons_2class_fixed,GM-instance,0.856500,0.02656212,0.35905600,1125,2000,1125
moons_2class_fixed,GM-centroid,0.850500,0.00035834,0.10156219,1125,2000,2
moons_2class_fixed,GM→LP(sklearn),0.884000,0.00000000,0.00000000,1125,2000,1125
moons_2class_fixed,kNN-budget(P=112),0.638000,0.00117728,0.07192038,112,2000,112
