folder,tr,te,imb,alpha,beta,kproto,K,acc,nll,brier,ece,smooth,t_fit,t_pred,n_train,n_test
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.1_b1.0_k256,2000,2000,8.0,0.1,1.0,256.0,256.0,0.757,1.899912,0.485707,0.25577,0.374248,16.44353106,2.35299262,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.1_b1.0_k32,2000,2000,8.0,0.1,1.0,32.0,32.0,0.585,1.619146,0.80889,0.417099,0.196909,18.66349352,1.61746127,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.1_b1.0_k64,2000,2000,8.0,0.1,1.0,64.0,64.0,0.78425,1.092582,0.463257,0.250609,0.383872,7.85069277,2.35650312,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.1_b1.5_k128,2000,2000,8.0,0.1,1.5,128.0,128.0,0.77225,1.443233,0.502386,0.28098,0.37491,7.56328587,2.45888612,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.1_b1.5_k256,2000,2000,8.0,0.1,1.5,256.0,256.0,0.75675,1.826333,0.515613,0.281678,0.362058,30.29549158,3.04682939,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.1_b1.5_k32,2000,2000,8.0,0.1,1.5,32.0,32.0,0.567,1.527833,0.80766,0.396396,0.180042,10.75287441,0.18311366,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.1_b1.5_k64,2000,2000,8.0,0.1,1.5,64.0,64.0,0.77625,1.011158,0.488448,0.267913,0.352926,10.01051478,1.75072302,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.1_b2.0_k128,2000,2000,8.0,0.1,2.0,128.0,128.0,0.771,1.386833,0.51879,0.295302,0.356411,2.84316977,0.5297322,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.1_b2.0_k256,2000,2000,8.0,0.1,2.0,256.0,256.0,0.7565,1.742388,0.535131,0.298692,0.348149,12.36329582,1.55273456,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.1_b2.0_k32,2000,2000,8.0,0.1,2.0,32.0,32.0,0.55375,1.493193,0.802331,0.376922,0.166812,16.19853195,1.8262129,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.1_b2.0_k64,2000,2000,8.0,0.1,2.0,64.0,64.0,0.76825,1.021403,0.503168,0.273895,0.331233,2.99649835,0.62823739,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.1_k128,2000,2000,8.0,0.2,0.1,128.0,128.0,0.772,1.218972,0.389775,0.172267,0.354436,3.10629383,0.53019504,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.1_k256,2000,2000,8.0,0.2,0.1,256.0,256.0,0.7535,1.478431,0.39302,0.155636,0.288429,12.46492005,1.92098658,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.1_k32,2000,2000,8.0,0.2,0.1,32.0,32.0,0.611,1.265523,0.700516,0.353238,0.181087,6.86563742,0.61833213,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.1_k512,2000,2000,8.0,0.2,0.1,512.0,512.0,0.73225,2.181298,0.467799,0.211033,0.295617,24.80304464,3.08717331,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.1_k64,2000,2000,8.0,0.2,0.1,64.0,64.0,0.78,0.856757,0.365858,0.151238,0.341674,3.41822852,1.71805111,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.2_k128,2000,2000,8.0,0.2,0.2,128.0,128.0,0.7775,1.281021,0.398887,0.185368,0.381796,7.5321579,1.2385799,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.2_k256,2000,2000,8.0,0.2,0.2,256.0,256.0,0.7555,1.542377,0.400091,0.174514,0.322068,6.20561366,0.63841252,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.2_k32,2000,2000,8.0,0.2,0.2,32.0,32.0,0.60625,1.282108,0.709129,0.355738,0.179744,3.72673107,0.08106899,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.2_k512,2000,2000,8.0,0.2,0.2,512.0,512.0,0.7415,2.244646,0.470219,0.210469,0.311781,7.14124482,1.30155543,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.2_k64,2000,2000,8.0,0.2,0.2,64.0,64.0,0.786,0.903054,0.378077,0.168976,0.377448,7.94953655,1.4247064,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.3_k128,2000,2000,8.0,0.2,0.3,128.0,128.0,0.77575,1.312431,0.410406,0.196792,0.391037,2.82385905,0.53629716,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.3_k256,2000,2000,8.0,0.2,0.3,256.0,256.0,0.7575,1.600409,0.411772,0.19025,0.340107,7.39015021,2.10705132,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.3_k32,2000,2000,8.0,0.2,0.3,32.0,32.0,0.6015,1.303704,0.720217,0.362138,0.17838,8.43640011,0.21648241,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.3_k512,2000,2000,8.0,0.2,0.3,512.0,512.0,0.74025,2.305637,0.475956,0.216161,0.322848,6.47417901,2.59725579,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.3_k64,2000,2000,8.0,0.2,0.3,64.0,64.0,0.7855,0.931186,0.391276,0.18187,0.386244,10.71038147,2.02293609,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.4_k128,2000,2000,8.0,0.2,0.4,128.0,128.0,0.77425,1.326318,0.419013,0.204032,0.39508,5.33947219,0.62338617,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.4_k256,2000,2000,8.0,0.2,0.4,256.0,256.0,0.757,1.636563,0.422423,0.19937,0.350013,9.310495,1.4200745,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.4_k32,2000,2000,8.0,0.2,0.4,32.0,32.0,0.59725,1.309235,0.72922,0.366992,0.17751,4.19853429,1.05185228,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.4_k512,2000,2000,8.0,0.2,0.4,512.0,512.0,0.73875,2.350412,0.483356,0.224982,0.329781,7.64713494,4.29052121,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.4_k64,2000,2000,8.0,0.2,0.4,64.0,64.0,0.786,0.969078,0.401725,0.192928,0.388414,9.4936105,1.82170929,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.5_k128,2000,2000,8.0,0.2,0.5,128.0,128.0,0.77375,1.348811,0.428261,0.213387,0.396431,16.72232,1.81410357,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.5_k256,2000,2000,8.0,0.2,0.5,256.0,256.0,0.7585,1.680892,0.435266,0.213014,0.35484,13.0644645,2.18891146,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.5_k32,2000,2000,8.0,0.2,0.5,32.0,32.0,0.59425,1.359911,0.739604,0.37492,0.177897,3.41412836,0.08657325,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b0.5_k64,2000,2000,8.0,0.2,0.5,64.0,64.0,0.78525,0.949879,0.409995,0.199881,0.386563,8.41950013,2.31447037,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b1.0_k128,2000,2000,8.0,0.2,1.0,128.0,128.0,0.77325,1.301212,0.466395,0.248764,0.383315,12.66313501,1.2819385,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b1.0_k256,2000,2000,8.0,0.2,1.0,256.0,256.0,0.75775,1.699859,0.476413,0.248428,0.357141,5.68046696,0.7271939,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b1.0_k32,2000,2000,8.0,0.2,1.0,32.0,32.0,0.585,1.371507,0.777887,0.403539,0.182614,7.50446409,0.78072764,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b1.0_k64,2000,2000,8.0,0.2,1.0,64.0,64.0,0.78425,0.945865,0.451334,0.238574,0.36012,7.60637146,1.13616293,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b1.5_k128,2000,2000,8.0,0.2,1.5,128.0,128.0,0.77225,1.234905,0.492872,0.274339,0.362422,10.00818387,1.95035663,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b1.5_k256,2000,2000,8.0,0.2,1.5,256.0,256.0,0.75725,1.609465,0.505022,0.273475,0.344396,38.8045278,2.62634729,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b1.5_k32,2000,2000,8.0,0.2,1.5,32.0,32.0,0.567,1.311168,0.779083,0.384257,0.166522,23.75856978,1.58667506,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b1.5_k64,2000,2000,8.0,0.2,1.5,64.0,64.0,0.7765,0.879763,0.476338,0.255799,0.329429,9.26978498,1.00906648,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b2.0_k128,2000,2000,8.0,0.2,2.0,128.0,128.0,0.771,1.187238,0.509126,0.288802,0.343811,4.37121409,1.8768524,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b2.0_k256,2000,2000,8.0,0.2,2.0,256.0,256.0,0.75675,1.521362,0.523987,0.289887,0.330383,4.41201967,1.93059761,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b2.0_k32,2000,2000,8.0,0.2,2.0,32.0,32.0,0.55375,1.299389,0.775282,0.365611,0.154052,4.34189923,0.09179541,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.2_b2.0_k64,2000,2000,8.0,0.2,2.0,64.0,64.0,0.7685,0.890306,0.491172,0.261856,0.308032,3.63056314,0.43678116,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.01_k128,2000,2000,8.0,0.4,0.01,128.0,128.0,0.71425,0.961142,0.407574,0.182184,0.23524,4.04859796,0.61251847,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.01_k256,2000,2000,8.0,0.4,0.01,256.0,256.0,0.717,1.280427,0.411186,0.164304,0.236607,39.06778419,1.57804357,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.01_k32,2000,2000,8.0,0.4,0.01,32.0,32.0,0.60175,1.066385,0.661256,0.323611,0.124345,17.12141955,1.15942022,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.01_k512,2000,2000,8.0,0.4,0.01,512.0,512.0,0.71775,1.81684,0.468535,0.201664,0.264293,7.01609729,1.61174611,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.01_k64,2000,2000,8.0,0.4,0.01,64.0,64.0,0.6625,0.754002,0.430399,0.197764,0.178333,3.25524536,0.41520692,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.1_k128,2000,2000,8.0,0.4,0.1,128.0,128.0,0.7705,1.018154,0.381773,0.162329,0.335876,3.89515565,0.86040164,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.1_k256,2000,2000,8.0,0.4,0.1,256.0,256.0,0.7515,1.315423,0.395511,0.152798,0.277559,13.14063842,1.92475422,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.1_k32,2000,2000,8.0,0.4,0.1,32.0,32.0,0.61075,1.056194,0.657861,0.327342,0.152966,9.16970287,0.55081488,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.1_k512,2000,2000,8.0,0.4,0.1,512.0,512.0,0.73225,1.860354,0.466695,0.212204,0.289952,12.77031068,1.68269963,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.1_k64,2000,2000,8.0,0.4,0.1,64.0,64.0,0.7775,0.714059,0.356104,0.132696,0.304489,6.40833848,0.84545297,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.2_k128,2000,2000,8.0,0.4,0.2,128.0,128.0,0.7755,1.04702,0.386749,0.173147,0.358883,3.04477569,0.49469332,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.2_k256,2000,2000,8.0,0.4,0.2,256.0,256.0,0.756,1.355432,0.397865,0.166142,0.30264,11.02583865,1.64288147,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.2_k32,2000,2000,8.0,0.4,0.2,32.0,32.0,0.60625,1.069005,0.665583,0.330394,0.15224,3.66012675,0.0832728,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.2_k512,2000,2000,8.0,0.4,0.2,512.0,512.0,0.7385,1.906359,0.467206,0.206785,0.303376,9.84728249,3.57334369,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.2_k64,2000,2000,8.0,0.4,0.2,64.0,64.0,0.785,0.735182,0.362395,0.145406,0.331537,3.82711183,0.94744893,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.3_k128,2000,2000,8.0,0.4,0.3,128.0,128.0,0.77525,1.065825,0.39613,0.182184,0.365939,5.58192501,1.45255349,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.3_k256,2000,2000,8.0,0.4,0.3,256.0,256.0,0.75775,1.391831,0.405405,0.17891,0.315461,3.80966122,0.8775171,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.3_k32,2000,2000,8.0,0.4,0.3,32.0,32.0,0.60175,1.08992,0.676417,0.337002,0.151627,3.72797272,0.08406494,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.3_k512,2000,2000,8.0,0.4,0.3,512.0,512.0,0.74125,1.947616,0.471514,0.212559,0.311707,31.10007701,3.67958237,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.3_k64,2000,2000,8.0,0.4,0.3,64.0,64.0,0.78475,0.752573,0.373051,0.15563,0.337391,8.35923061,1.67226816,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.4_k128,2000,2000,8.0,0.4,0.4,128.0,128.0,0.77375,1.072322,0.403384,0.189707,0.368771,5.75762735,0.66518991,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.4_k256,2000,2000,8.0,0.4,0.4,256.0,256.0,0.7585,1.40843,0.413178,0.188202,0.322315,9.26409876,2.16808362,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.4_k32,2000,2000,8.0,0.4,0.4,32.0,32.0,0.5975,1.097305,0.685268,0.342317,0.15096,7.7481679,0.84228946,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.4_k512,2000,2000,8.0,0.4,0.4,512.0,512.0,0.73825,1.975736,0.477418,0.21553,0.316802,9.16223544,1.67551361,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.4_k64,2000,2000,8.0,0.4,0.4,64.0,64.0,0.78475,0.785279,0.38224,0.164519,0.338316,4.90458475,0.97094768,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.5_k128,2000,2000,8.0,0.4,0.5,128.0,128.0,0.77325,1.090013,0.411692,0.197854,0.369442,19.15361708,2.13894467,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.5_k256,2000,2000,8.0,0.4,0.5,256.0,256.0,0.75775,1.4362,0.423931,0.197102,0.325154,10.3249503,1.28170325,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.5_k32,2000,2000,8.0,0.4,0.5,32.0,32.0,0.5945,1.152299,0.695627,0.349879,0.151594,21.8184901,1.77328317,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.5_k64,2000,2000,8.0,0.4,0.5,64.0,64.0,0.78425,0.777585,0.389783,0.171161,0.33596,8.0517598,1.90467728,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.7_k128,2000,2000,8.0,0.4,0.7,128.0,128.0,0.77325,1.09496,0.427117,0.213421,0.366026,7.8093335,2.08821244,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.7_k256,2000,2000,8.0,0.4,0.7,256.0,256.0,0.758,1.459419,0.439206,0.211063,0.327581,4.92325464,0.76277024,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.7_k32,2000,2000,8.0,0.4,0.7,32.0,32.0,0.589,1.12994,0.712199,0.36184,0.153518,7.61751495,0.08662424,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.7_k512,2000,2000,8.0,0.4,0.7,512.0,512.0,0.734,2.017597,0.497086,0.237569,0.32367,7.48330754,2.53964104,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.7_k64,2000,2000,8.0,0.4,0.7,64.0,64.0,0.785,0.789255,0.407658,0.189483,0.32685,3.7384816,0.44907509,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.9_k128,2000,2000,8.0,0.4,0.9,128.0,128.0,0.77275,1.046113,0.439155,0.224786,0.359335,9.63851882,0.80130214,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.9_k256,2000,2000,8.0,0.4,0.9,256.0,256.0,0.75725,1.456747,0.452341,0.222233,0.326401,4.00696024,0.88398485,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.9_k32,2000,2000,8.0,0.4,0.9,32.0,32.0,0.58675,1.153351,0.729995,0.377927,0.155716,3.5842789,0.09243614,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.9_k512,2000,2000,8.0,0.4,0.9,512.0,512.0,0.7345,2.016103,0.509599,0.253764,0.324952,7.36159385,1.56328186,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b0.9_k64,2000,2000,8.0,0.4,0.9,64.0,64.0,0.78425,0.758623,0.423878,0.204285,0.313752,10.77929802,1.5527653,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b1.0_k128,2000,2000,8.0,0.4,1.0,128.0,128.0,0.77275,1.050889,0.447862,0.23314,0.354869,4.63196033,0.78860153,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b1.0_k256,2000,2000,8.0,0.4,1.0,256.0,256.0,0.75675,1.426599,0.459581,0.228429,0.323623,6.22334842,1.03788504,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b1.0_k32,2000,2000,8.0,0.4,1.0,32.0,32.0,0.585,1.174648,0.734795,0.380176,0.155889,4.10139515,0.08839286,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b1.0_k64,2000,2000,8.0,0.4,1.0,64.0,64.0,0.784,0.797255,0.429755,0.209884,0.309424,6.25924385,1.3654629,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b1.5_k128,2000,2000,8.0,0.4,1.5,128.0,128.0,0.77225,1.011523,0.473643,0.258259,0.333626,12.7918735,2.33875638,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b1.5_k256,2000,2000,8.0,0.4,1.5,256.0,256.0,0.75675,1.340236,0.486063,0.253998,0.310157,9.17352093,0.84233274,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b1.5_k32,2000,2000,8.0,0.4,1.5,32.0,32.0,0.567,1.13251,0.739185,0.363683,0.142553,3.91870461,1.20671133,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b1.5_k64,2000,2000,8.0,0.4,1.5,64.0,64.0,0.7765,0.748523,0.454388,0.228782,0.279501,14.21179487,1.6720767,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b2.0_k128,2000,2000,8.0,0.4,2.0,128.0,128.0,0.771,0.9759,0.489581,0.272826,0.314933,10.4549638,2.37171965,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b2.0_k256,2000,2000,8.0,0.4,2.0,256.0,256.0,0.7565,1.260585,0.503888,0.269992,0.295884,12.24724515,1.51647929,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b2.0_k32,2000,2000,8.0,0.4,2.0,32.0,32.0,0.55375,1.135024,0.737447,0.346735,0.13208,22.66210852,1.77738001,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.4_b2.0_k64,2000,2000,8.0,0.4,2.0,64.0,64.0,0.7685,0.767328,0.469548,0.234886,0.259069,8.74854876,0.42471572,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.1_k128,2000,2000,8.0,0.5,0.1,128.0,128.0,0.76975,0.933913,0.377593,0.158143,0.323465,3.28204099,0.54878009,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.1_k256,2000,2000,8.0,0.5,0.1,256.0,256.0,0.75,1.239279,0.396791,0.153121,0.271386,42.37359026,0.4991934,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.1_k32,2000,2000,8.0,0.5,0.1,32.0,32.0,0.60975,1.005715,0.645755,0.336126,0.136549,18.80247794,1.15177202,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.1_k512,2000,2000,8.0,0.5,0.1,512.0,512.0,0.73,1.71779,0.465698,0.209218,0.285887,6.5033602,1.10050283,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.1_k64,2000,2000,8.0,0.5,0.1,64.0,64.0,0.77475,0.665853,0.352673,0.1225,0.282445,2.92752188,0.42795102,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.2_k128,2000,2000,8.0,0.5,0.2,128.0,128.0,0.7755,0.95339,0.380753,0.16628,0.344022,2.92199146,0.50343933,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.2_k256,2000,2000,8.0,0.5,0.2,256.0,256.0,0.75725,1.269979,0.397033,0.162158,0.292306,3.83359465,0.79544046,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.2_k32,2000,2000,8.0,0.5,0.2,32.0,32.0,0.60625,1.017689,0.653334,0.338469,0.136702,3.67950424,0.08364625,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.2_k512,2000,2000,8.0,0.5,0.2,512.0,512.0,0.73675,1.756041,0.465458,0.208479,0.297594,23.52451895,1.38074389,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.2_k64,2000,2000,8.0,0.5,0.2,64.0,64.0,0.784,0.679424,0.356055,0.130585,0.305261,3.17664656,0.42122749,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.3_k128,2000,2000,8.0,0.5,0.3,128.0,128.0,0.7755,0.968724,0.388701,0.174556,0.350243,2.83276017,0.6516374,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.3_k256,2000,2000,8.0,0.5,0.3,256.0,256.0,0.75575,1.298651,0.402993,0.169369,0.302758,22.9856089,0.45617114,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.3_k32,2000,2000,8.0,0.5,0.3,32.0,32.0,0.601,1.03856,0.6643,0.343919,0.136159,4.84719616,0.12588012,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.3_k512,2000,2000,8.0,0.5,0.3,512.0,512.0,0.7405,1.790232,0.469183,0.210133,0.304863,9.50887989,3.09300098,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.3_k64,2000,2000,8.0,0.5,0.3,64.0,64.0,0.784,0.694158,0.365726,0.146451,0.309635,2.81329961,0.46040373,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.4_k128,2000,2000,8.0,0.5,0.4,128.0,128.0,0.774,0.974085,0.395436,0.181425,0.352423,3.17120121,0.42469686,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.4_k256,2000,2000,8.0,0.5,0.4,256.0,256.0,0.759,1.308389,0.40944,0.179761,0.308154,3.84209353,0.87165504,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.4_k32,2000,2000,8.0,0.5,0.4,32.0,32.0,0.5975,1.045741,0.67252,0.350078,0.136297,3.45478899,0.14350658,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.4_k512,2000,2000,8.0,0.5,0.4,512.0,512.0,0.74,1.811162,0.474104,0.214069,0.309035,7.24676969,1.28072548,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.5_b0.4_k64,2000,2000,8.0,0.5,0.4,64.0,64.0,0.78475,0.720533,0.373827,0.160249,0.30993,2.72306903,0.39667601,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.01_k128,2000,2000,8.0,0.8,0.01,128.0,128.0,0.6795,0.742114,0.407263,0.176871,0.19212,3.01401018,0.40103938,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.01_k256,2000,2000,8.0,0.8,0.01,256.0,256.0,0.71625,1.003164,0.417167,0.178855,0.218896,11.09312511,0.90446907,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.01_k32,2000,2000,8.0,0.8,0.01,32.0,32.0,0.57875,1.031776,0.6897,0.353453,0.050392,9.39323691,0.66273446,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.01_k512,2000,2000,8.0,0.8,0.01,512.0,512.0,0.71,1.287684,0.460829,0.199026,0.245322,6.82878036,1.39898488,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.01_k64,2000,2000,8.0,0.8,0.01,64.0,64.0,0.6295,0.674686,0.451753,0.198541,0.11991,2.71911564,0.49234093,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.3_k128,2000,2000,8.0,0.8,0.3,128.0,128.0,0.77125,0.726735,0.367298,0.144272,0.270236,2.90739065,0.50895159,2030.0,4000.0
