tag,method,acc,t_fit,t_pred,n_train,n_test,K,n_classes
circles_2class_fixed,Linear,0.492500,0.00150799,0.00017649,1200,800,-,2
circles_2class_fixed,kNN,1.000000,0.00082324,0.02615656,1200,800,-,2
circles_2class_fixed,LP,1.000000,0.00645974,0.00000122,1200,800,-,2
circles_2class_fixed,GM,1.000000,0.13179732,0.02597058,1200,800,32,2
circles_2class_fixed,GM-flat,1.000000,0.08035696,0.02348551,1200,800,32,2
circles_2class_fixed,GM-instance,1.000000,0.02673331,0.19456588,1200,800,1200,2
circles_2class_fixed,GM-centroid,0.488750,0.00023397,0.04122697,1200,800,2,2
circles_2class_fixed,kNN-budget(P=32),0.743750,0.00090608,0.04170146,32,800,32,2
circles_multiclass_fixed,Linear,0.487500,0.00965917,0.00027856,1800,1200,-,6
circles_multiclass_fixed,kNN,0.988333,0.00113903,0.04036885,1800,1200,-,6
circles_multiclass_fixed,LP,0.998333,0.01298627,0.00000135,1800,1200,-,6
circles_multiclass_fixed,GM,0.829167,0.19505740,0.05166237,1800,1200,48,6
circles_multiclass_fixed,GM-flat,0.829167,0.16678647,0.05137291,1800,1200,48,6
circles_multiclass_fixed,GM-instance,1.000000,0.05465239,0.46345856,1800,1200,1800,6
circles_multiclass_fixed,GM-centroid,0.485000,0.00038350,0.09071812,1800,1200,6,6
circles_multiclass_fixed,kNN-budget(P=48),0.631667,0.00087533,0.04917825,48,1200,48,6
