tag,method,acc,t_fit,t_pred,n_train,n_test,K
moons_2class_fixed,Linear,0.856250,0.00247200,0.00018327,1200,800,-
moons_2class_fixed,kNN,0.931250,0.00083354,0.02744258,1200,800,-
moons_2class_fixed,LabelSpreading,0.916250,0.00000000,0.00000000,1200,800,-
moons_2class_fixed,GM,0.920000,0.19115767,0.02508861,1200,800,64
moons_2class_fixed,GM-flat,0.920000,0.00000000,0.02461431,1200,800,64
moons_2class_fixed,GM-instance,0.923750,0.02668880,0.20177438,1200,800,1200
moons_2class_fixed,GM-centroid,0.851250,0.00029882,0.04058855,1200,800,2
moons_2class_fixed,GM→LP(sklearn),0.916250,0.00000000,0.00000000,1200,800,1200
moons_2class_fixed,kNN-budget(P=64),0.911250,0.00095085,0.04231725,64,800,64
circles_2class_fixed,Linear,0.500000,0.00195426,0.00018439,675,800,-
circles_2class_fixed,kNN,0.990000,0.00071725,0.02839797,675,800,-
circles_2class_fixed,LabelSpreading,0.992500,0.00000000,0.00000000,675,800,-
circles_2class_fixed,GM,0.951250,0.15627507,0.02415007,675,800,64
circles_2class_fixed,GM-flat,0.951250,0.00000000,0.02405245,675,800,64
circles_2class_fixed,GM-instance,0.990000,0.01125143,0.20558918,675,800,675
circles_2class_fixed,GM-centroid,0.478750,0.00018359,0.02149584,675,800,2
circles_2class_fixed,GM→LP(sklearn),0.992500,0.00000000,0.00000000,675,800,675
circles_2class_fixed,kNN-budget(P=64),0.641250,0.00064525,0.02566975,64,800,64
moons_2class_fixed,Linear,0.791250,0.00247183,0.00019318,675,800,-
moons_2class_fixed,kNN,0.883750,0.00074278,0.02766871,675,800,-
moons_2class_fixed,LabelSpreading,0.886250,0.00000000,0.00000000,675,800,-
moons_2class_fixed,GM,0.807500,0.16002638,0.02555866,675,800,64
moons_2class_fixed,GM-flat,0.808750,0.00000000,0.02483829,675,800,64
moons_2class_fixed,GM-instance,0.877500,0.01131357,0.20820956,675,800,675
moons_2class_fixed,GM-centroid,0.821250,0.00018278,0.02212464,675,800,2
moons_2class_fixed,GM→LP(sklearn),0.886250,0.00000000,0.00000000,675,800,675
moons_2class_fixed,kNN-budget(P=64),0.500000,0.00065011,0.02599952,64,800,64
circles_2class_fixed,Linear,0.492500,0.00160657,0.00018693,1200,800,-
circles_2class_fixed,kNN,0.996250,0.00088504,0.02827352,1200,800,-
circles_2class_fixed,LabelSpreading,0.997500,0.00000000,0.00000000,1200,800,-
circles_2class_fixed,GM,0.996250,0.17865066,0.02516828,1200,800,64
circles_2class_fixed,GM-flat,0.996250,0.00000000,0.02486792,1200,800,64
circles_2class_fixed,GM-instance,0.996250,0.02737970,0.19944187,1200,800,1200
circles_2class_fixed,GM-centroid,0.490000,0.00027549,0.04116103,1200,800,2
circles_2class_fixed,GM→LP(sklearn),0.997500,0.00000000,0.00000000,1200,800,1200
circles_2class_fixed,kNN-budget(P=64),0.988750,0.00090242,0.04366366,64,800,64
circles_2class_fixed,Linear,0.500000,0.00204508,0.00018780,675,800,-
circles_2class_fixed,kNN,0.983750,0.00073323,0.02675756,675,800,-
circles_2class_fixed,LabelSpreading,0.990000,0.00000000,0.00000000,675,800,-
circles_2class_fixed,GM,0.773750,0.15896795,0.02428604,675,800,64
circles_2class_fixed,GM-flat,0.781250,0.00000000,0.02395774,675,800,64
circles_2class_fixed,GM-instance,0.983750,0.01093981,0.20472584,675,800,675
circles_2class_fixed,GM-centroid,0.486250,0.00018669,0.02159478,675,800,2
circles_2class_fixed,GM→LP(sklearn),0.990000,0.00000000,0.00000000,675,800,675
circles_2class_fixed,kNN-budget(P=64),0.661250,0.00062995,0.02593673,64,800,64
circles_2class_fixed,Linear,0.478750,0.00152557,0.00017153,1200,800,-
circles_2class_fixed,kNN,0.993750,0.00083454,0.02660908,1200,800,-
circles_2class_fixed,LabelSpreading,0.995000,0.00000000,0.00000000,1200,800,-
circles_2class_fixed,GM,0.996250,0.19476595,0.02468583,1200,800,64
circles_2class_fixed,GM-flat,0.996250,0.00000000,0.02430869,1200,800,64
circles_2class_fixed,GM-instance,0.993750,0.02679594,0.20236327,1200,800,1200
circles_2class_fixed,GM-centroid,0.480000,0.00027145,0.04059374,1200,800,2
circles_2class_fixed,GM→LP(sklearn),0.995000,0.00000000,0.00000000,1200,800,1200
circles_2class_fixed,kNN-budget(P=64),0.947500,0.00089302,0.04231555,64,800,64
circles_2class_fixed,Linear,0.502500,0.00156485,0.00017236,1200,800,-
circles_2class_fixed,kNN,0.998750,0.00084461,0.02725706,1200,800,-
circles_2class_fixed,LabelSpreading,0.997500,0.00000000,0.00000000,1200,800,-
circles_2class_fixed,GM,0.998750,0.20221680,0.02530493,1200,800,64
circles_2class_fixed,GM-flat,0.998750,0.00000000,0.02574993,1200,800,64
circles_2class_fixed,GM-instance,0.998750,0.02797672,0.19674573,1200,800,1200
circles_2class_fixed,GM-centroid,0.503750,0.00027199,0.04120064,1200,800,2
circles_2class_fixed,GM→LP(sklearn),0.997500,0.00000000,0.00000000,1200,800,1200
circles_2class_fixed,kNN-budget(P=64),0.866250,0.00088960,0.04400409,64,800,64
moons_2class_fixed,Linear,0.850000,0.00267027,0.00020644,1200,800,-
moons_2class_fixed,kNN,0.936250,0.00097467,0.02769438,1200,800,-
moons_2class_fixed,LabelSpreading,0.926250,0.00000000,0.00000000,1200,800,-
moons_2class_fixed,GM,0.913750,0.19016792,0.02429732,1200,800,64
moons_2class_fixed,GM-flat,0.912500,0.00000000,0.02361633,1200,800,64
moons_2class_fixed,GM-instance,0.936250,0.02646868,0.20421598,1200,800,1200
moons_2class_fixed,GM-centroid,0.846250,0.00030374,0.03977709,1200,800,2
moons_2class_fixed,GM→LP(sklearn),0.926250,0.00000000,0.00000000,1200,800,1200
moons_2class_fixed,kNN-budget(P=64),0.876250,0.00093426,0.04180671,64,800,64
circles_2class_fixed,Linear,0.500000,0.00190434,0.00017636,675,800,-
circles_2class_fixed,kNN,0.995000,0.00070551,0.02753400,675,800,-
circles_2class_fixed,LabelSpreading,0.997500,0.00000000,0.00000000,675,800,-
circles_2class_fixed,GM,0.885000,0.15435656,0.02432544,675,800,64
circles_2class_fixed,GM-flat,0.892500,0.00000000,0.02408568,675,800,64
circles_2class_fixed,GM-instance,0.995000,0.01111834,0.20608108,675,800,675
circles_2class_fixed,GM-centroid,0.482500,0.00018686,0.02169040,675,800,2
circles_2class_fixed,GM→LP(sklearn),0.997500,0.00000000,0.00000000,675,800,675
circles_2class_fixed,kNN-budget(P=64),0.623750,0.00063303,0.02741529,64,800,64
moons_2class_fixed,Linear,0.837500,0.00254591,0.00018763,1200,800,-
moons_2class_fixed,kNN,0.935000,0.00087147,0.02799350,1200,800,-
moons_2class_fixed,LabelSpreading,0.928750,0.00000000,0.00000000,1200,800,-
moons_2class_fixed,GM,0.902500,0.19356472,0.02488365,1200,800,64
moons_2class_fixed,GM-flat,0.901250,0.00000000,0.02431054,1200,800,64
moons_2class_fixed,GM-instance,0.932500,0.02761800,0.19765151,1200,800,1200
moons_2class_fixed,GM-centroid,0.833750,0.00029961,0.04088773,1200,800,2
moons_2class_fixed,GM→LP(sklearn),0.928750,0.00000000,0.00000000,1200,800,1200
moons_2class_fixed,kNN-budget(P=64),0.923750,0.00097320,0.04252835,64,800,64
moons_2class_fixed,Linear,0.756250,0.00272910,0.00018983,675,800,-
moons_2class_fixed,kNN,0.825000,0.00073343,0.02686156,675,800,-
moons_2class_fixed,LabelSpreading,0.867500,0.00000000,0.00000000,675,800,-
moons_2class_fixed,GM,0.795000,0.15816025,0.02491465,675,800,64
moons_2class_fixed,GM-flat,0.792500,0.00000000,0.02448741,675,800,64
