tag,method,acc,t_fit,t_pred,n_train,n_test,K,n_classes
circles_2class_fixed,Linear,0.492500,0.00150618,0.00017534,1200,800,-,2
circles_2class_fixed,kNN,1.000000,0.00081801,0.02654751,1200,800,-,2
circles_2class_fixed,LP,1.000000,0.00641028,0.00000131,1200,800,-,2
circles_2class_fixed,GM,1.000000,0.12606283,0.02356021,1200,800,32,2
circles_2class_fixed,GM-flat,1.000000,0.07817427,0.02339566,1200,800,32,2
circles_2class_fixed,GM-instance,1.000000,0.02661214,0.19869858,1200,800,1200,2
circles_2class_fixed,GM-centroid,0.488750,0.00023103,0.04125462,1200,800,2,2
circles_2class_fixed,kNN-budget(P=32),0.787500,0.00089075,0.04266505,32,800,32,2
circles_multiclass_fixed,Linear,0.487500,0.00909151,0.00022910,1800,1200,-,6
circles_multiclass_fixed,kNN,0.988333,0.00100668,0.04022172,1800,1200,-,6
circles_multiclass_fixed,LP,0.998333,0.01297223,0.00000139,1800,1200,-,6
circles_multiclass_fixed,GM,0.808333,0.17754087,0.05169473,1800,1200,48,6
circles_multiclass_fixed,GM-flat,0.825000,0.17315203,0.05128060,1800,1200,48,6
circles_multiclass_fixed,GM-instance,0.988333,0.05479092,0.46083837,1800,1200,1800,6
circles_multiclass_fixed,GM-centroid,0.485000,0.00038960,0.09101106,1800,1200,6,6
circles_multiclass_fixed,kNN-budget(P=48),0.675000,0.00088298,0.04972703,48,1200,48,6
