tag,method,acc,t_fit,t_pred,n_train,n_test,K
moons_2class_fixed,Linear,0.862000,0.00251058,0.00020403,1800,2000,-
moons_2class_fixed,kNN,0.949000,0.00111180,0.06489600,1800,2000,-
moons_2class_fixed,LabelSpreading,0.945000,0.00000000,0.01551766,1800,2000,-
moons_2class_fixed,GM,0.948500,0.76533791,0.14601402,1800,2000,180
moons_2class_fixed,GM-flat,0.949000,0.00000000,0.13815332,1800,2000,180
moons_2class_fixed,GM-instance,0.950500,0.05994325,0.65654754,1800,2000,1800
moons_2class_fixed,GM-centroid,0.846500,0.00044811,0.10200965,1800,2000,2
moons_2class_fixed,GM→LP(sklearn),0.945000,0.00000000,0.01551766,1800,2000,1800
circles_2class_fixed,Linear,0.500000,0.00223152,0.00018157,1012,2000,-
circles_2class_fixed,kNN,0.997500,0.00084131,0.06170253,1012,2000,-
circles_2class_fixed,LabelSpreading,0.998000,0.00000000,0.01073296,1012,2000,-
circles_2class_fixed,GM,0.985000,0.28273393,0.12284439,1012,2000,101
circles_2class_fixed,GM-flat,0.985000,0.00000000,0.11859549,1012,2000,101
circles_2class_fixed,GM-instance,0.997500,0.02682794,0.34432667,1012,2000,1012
circles_2class_fixed,GM-centroid,0.493000,0.00040242,0.09948819,1012,2000,2
circles_2class_fixed,GM→LP(sklearn),0.998000,0.00000000,0.01073296,1012,2000,1012
moons_2class_fixed,Linear,0.779500,0.00256634,0.00019939,1012,2000,-
moons_2class_fixed,kNN,0.862500,0.00084291,0.07069415,1012,2000,-
moons_2class_fixed,LabelSpreading,0.880500,0.00000000,0.01224058,1012,2000,-
moons_2class_fixed,GM,0.839500,0.29801436,0.13378473,1012,2000,101
moons_2class_fixed,GM-flat,0.841500,0.00000000,0.12581552,1012,2000,101
moons_2class_fixed,GM-instance,0.861000,0.02075119,0.32840842,1012,2000,1012
moons_2class_fixed,GM-centroid,0.847500,0.00040787,0.10662742,1012,2000,2
moons_2class_fixed,GM→LP(sklearn),0.880500,0.00000000,0.01224058,1012,2000,1012
circles_2class_fixed,Linear,0.495000,0.00153051,0.00017197,1800,2000,-
circles_2class_fixed,kNN,0.999000,0.00101317,0.06398491,1800,2000,-
circles_2class_fixed,LabelSpreading,0.998500,0.00000000,0.01366919,1800,2000,-
circles_2class_fixed,GM,0.999000,0.79986336,0.14199547,1800,2000,180
circles_2class_fixed,GM-flat,0.999000,0.00000000,0.13703788,1800,2000,180
circles_2class_fixed,GM-instance,0.998500,0.05722872,0.62595986,1800,2000,1800
circles_2class_fixed,GM-centroid,0.495000,0.00033860,0.10233006,1800,2000,2
circles_2class_fixed,GM→LP(sklearn),0.998500,0.00000000,0.01366919,1800,2000,1800
circles_2class_fixed,Linear,0.500000,0.00217002,0.00019765,1012,2000,-
circles_2class_fixed,kNN,0.991000,0.00091839,0.06467380,1012,2000,-
circles_2class_fixed,LabelSpreading,0.992000,0.00000000,0.01142145,1012,2000,-
circles_2class_fixed,GM,0.975500,0.28701084,0.12343574,1012,2000,101
circles_2class_fixed,GM-flat,0.979000,0.00000000,0.11949573,1012,2000,101
circles_2class_fixed,GM-instance,0.990500,0.02525210,0.32639774,1012,2000,1012
circles_2class_fixed,GM-centroid,0.497500,0.00040329,0.10024115,1012,2000,2
circles_2class_fixed,GM→LP(sklearn),0.992000,0.00000000,0.01142145,1012,2000,1012
circles_2class_fixed,Linear,0.499000,0.00170875,0.00017781,1800,2000,-
circles_2class_fixed,kNN,0.999000,0.00100452,0.06579135,1800,2000,-
circles_2class_fixed,LabelSpreading,0.999000,0.00000000,0.01428983,1800,2000,-
circles_2class_fixed,GM,0.999000,0.78172754,0.13950349,1800,2000,180
circles_2class_fixed,GM-flat,0.999000,0.00000000,0.13785824,1800,2000,180
circles_2class_fixed,GM-instance,0.999000,0.05786643,0.59448648,1800,2000,1800
circles_2class_fixed,GM-centroid,0.499000,0.00033113,0.10223031,1800,2000,2
circles_2class_fixed,GM→LP(sklearn),0.999000,0.00000000,0.01428983,1800,2000,1800
circles_2class_fixed,Linear,0.497500,0.00170169,0.00019293,1800,2000,-
circles_2class_fixed,kNN,0.997500,0.00101975,0.06520021,1800,2000,-
circles_2class_fixed,LabelSpreading,0.997000,0.00000000,0.01384015,1800,2000,-
circles_2class_fixed,GM,0.997000,0.78901936,0.14298842,1800,2000,180
circles_2class_fixed,GM-flat,0.996500,0.00000000,0.13919815,1800,2000,180
circles_2class_fixed,GM-instance,0.997500,0.05852769,0.62622517,1800,2000,1800
circles_2class_fixed,GM-centroid,0.498000,0.00035004,0.10451878,1800,2000,2
circles_2class_fixed,GM→LP(sklearn),0.997000,0.00000000,0.01384015,1800,2000,1800
moons_2class_fixed,Linear,0.867500,0.00268421,0.00018682,1800,2000,-
moons_2class_fixed,kNN,0.938000,0.00100555,0.06749280,1800,2000,-
moons_2class_fixed,LabelSpreading,0.939000,0.00000000,0.01459015,1800,2000,-
moons_2class_fixed,GM,0.939500,0.77313358,0.14481942,1800,2000,180
moons_2class_fixed,GM-flat,0.941500,0.00000000,0.13946975,1800,2000,180
moons_2class_fixed,GM-instance,0.938000,0.06017440,0.60463720,1800,2000,1800
moons_2class_fixed,GM-centroid,0.853500,0.00045370,0.10312006,1800,2000,2
moons_2class_fixed,GM→LP(sklearn),0.939000,0.00000000,0.01459015,1800,2000,1800
circles_2class_fixed,Linear,0.500000,0.00216037,0.00019953,1012,2000,-
circles_2class_fixed,kNN,0.987500,0.00093726,0.06818030,1012,2000,-
circles_2class_fixed,LabelSpreading,0.992000,0.00000000,0.01201110,1012,2000,-
circles_2class_fixed,GM,0.954500,0.29184023,0.12259260,1012,2000,101
circles_2class_fixed,GM-flat,0.956000,0.00000000,0.12042683,1012,2000,101
circles_2class_fixed,GM-instance,0.987500,0.02373751,0.32094538,1012,2000,1012
circles_2class_fixed,GM-centroid,0.494500,0.00027658,0.10137537,1012,2000,2
circles_2class_fixed,GM→LP(sklearn),0.992000,0.00000000,0.01201110,1012,2000,1012
moons_2class_fixed,Linear,0.856000,0.00292981,0.00020705,1800,2000,-
moons_2class_fixed,kNN,0.936500,0.00110052,0.06692585,1800,2000,-
moons_2class_fixed,LabelSpreading,0.933000,0.00000000,0.01465611,1800,2000,-
moons_2class_fixed,GM,0.935500,0.77387779,0.15598980,1800,2000,180
moons_2class_fixed,GM-flat,0.934000,0.00000000,0.21229866,1800,2000,180
moons_2class_fixed,GM-instance,0.937000,0.05907019,0.98532833,1800,2000,1800
moons_2class_fixed,GM-centroid,0.842500,0.00035356,0.10090687,1800,2000,2
moons_2class_fixed,GM→LP(sklearn),0.933000,0.00000000,0.01465611,1800,2000,1800
moons_2class_fixed,Linear,0.773000,0.00262766,0.00020445,1012,2000,-
moons_2class_fixed,kNN,0.886500,0.00084462,0.06312362,1012,2000,-
moons_2class_fixed,LabelSpreading,0.889500,0.00000000,0.01185336,1012,2000,-
moons_2class_fixed,GM,0.878000,0.28404211,0.12759498,1012,2000,101
moons_2class_fixed,GM-flat,0.873000,0.00000000,0.11994349,1012,2000,101
moons_2class_fixed,GM-instance,0.880000,0.02557225,0.34897647,1012,2000,1012
moons_2class_fixed,GM-centroid,0.860500,0.00039192,0.10085919,1012,2000,2
moons_2class_fixed,GM→LP(sklearn),0.889500,0.00000000,0.01185336,1012,2000,1012
moons_2class_fixed,Linear,0.763000,0.00241398,0.00019042,1012,2000,-
moons_2class_fixed,kNN,0.849000,0.00089655,0.07064316,1012,2000,-
moons_2class_fixed,LabelSpreading,0.868000,0.00000000,0.01250460,1012,2000,-
moons_2class_fixed,GM,0.837000,0.28723870,0.12960645,1012,2000,101
moons_2class_fixed,GM-flat,0.834500,0.00000000,0.12043457,1012,2000,101
moons_2class_fixed,GM-instance,0.843000,0.02429050,0.33784813,1012,2000,1012
moons_2class_fixed,GM-centroid,0.849500,0.00041108,0.10086223,1012,2000,2
moons_2class_fixed,GM→LP(sklearn),0.868000,0.00000000,0.01250460,1012,2000,1012
