tag,method,acc,t_fit,t_pred,n_train,n_test,K,n_classes
moons_2class_fixed,Linear,0.820000,0.00273620,0.00019034,1200,800,-,2
moons_2class_fixed,kNN,0.966250,0.00072873,0.02690434,1200,800,-,2
moons_2class_fixed,LP,0.967500,0.00595341,0.00000108,1200,800,-,2
moons_2class_fixed,GM,0.581250,0.09951805,0.02334308,1200,800,32,2
moons_2class_fixed,GM-flat,0.581250,0.04936060,0.02523645,1200,800,32,2
moons_2class_fixed,GM-instance,0.500000,0.01079930,0.20739617,1200,800,675,2
moons_2class_fixed,GM-centroid,0.836250,0.00016145,0.02191775,1200,800,2,2
moons_2class_fixed,kNN-budget(P=32),0.500000,0.00066275,0.02521267,32,800,32,2
moons_multiclass_fixed,Linear,0.855000,0.00713760,0.00023531,1800,1200,-,6
moons_multiclass_fixed,kNN,0.904167,0.00078613,0.03861791,1800,1200,-,6
moons_multiclass_fixed,LP,0.958333,0.00894403,0.00000126,1800,1200,-,6
moons_multiclass_fixed,GM,0.841667,0.10727614,0.05112753,1800,1200,48,6
moons_multiclass_fixed,GM-flat,0.841667,0.08670082,0.05123544,1800,1200,48,6
moons_multiclass_fixed,GM-instance,0.953333,0.01091150,0.21732031,1800,1200,810,6
moons_multiclass_fixed,GM-centroid,0.855833,0.00030767,0.09146013,1800,1200,6,6
moons_multiclass_fixed,kNN-budget(P=48),0.534167,0.00088496,0.05234243,48,1200,48,6
