tag,method,acc,t_fit,t_pred,n_train,n_test,K
circles_2class_fixed,Linear,0.500000,0.00288855,0.00027111,675,800,-
circles_2class_fixed,kNN,0.995000,0.00102236,0.03968438,675,800,-
circles_2class_fixed,LabelSpreading,0.997500,0.00000000,0.00000000,675,800,-
circles_2class_fixed,GM,0.846250,0.12411340,0.03446007,675,800,32
circles_2class_fixed,GM-flat,0.865000,0.00000000,0.02354618,675,800,32
circles_2class_fixed,GM-instance,0.995000,0.01126523,0.21461300,675,800,675
circles_2class_fixed,GM-centroid,0.482500,0.00025168,0.02202172,675,800,2
circles_2class_fixed,GM→LP(sklearn),0.997500,0.00000000,0.00000000,675,800,675
circles_2class_fixed,kNN-budget(P=32),0.500000,0.00079829,0.02612929,32,800,32
