tag,method,acc,t_fit,t_pred,n_train,n_test,K,n_classes
circles_2class_fixed,Linear,0.500000,0.00198358,0.00018347,1200,800,-,2
circles_2class_fixed,kNN,1.000000,0.00071113,0.02719089,1200,800,-,2
circles_2class_fixed,LP,1.000000,0.00532814,0.00000109,1200,800,-,2
circles_2class_fixed,GM,0.500000,0.09880095,0.02348004,1200,800,32,2
circles_2class_fixed,GM-flat,0.500000,0.04828175,0.02604209,1200,800,32,2
circles_2class_fixed,GM-instance,0.500000,0.01091420,0.20371868,1200,800,675,2
circles_2class_fixed,GM-centroid,0.482500,0.00016039,0.02191308,1200,800,2,2
circles_2class_fixed,kNN-budget(P=32),0.500000,0.00066121,0.02528664,32,800,32,2
circles_multiclass_fixed,Linear,0.500000,0.00694709,0.00022908,1800,1200,-,6
circles_multiclass_fixed,kNN,0.910000,0.00078281,0.03949488,1800,1200,-,6
circles_multiclass_fixed,LP,0.966667,0.00829533,0.00000127,1800,1200,-,6
circles_multiclass_fixed,GM,0.815833,0.11130280,0.05077042,1800,1200,48,6
circles_multiclass_fixed,GM-flat,0.815833,0.08593190,0.05104615,1800,1200,48,6
circles_multiclass_fixed,GM-instance,0.966667,0.01100168,0.21661343,1800,1200,810,6
circles_multiclass_fixed,GM-centroid,0.500833,0.00029372,0.09110448,1800,1200,6,6
circles_multiclass_fixed,kNN-budget(P=48),0.382500,0.00086801,0.04940274,48,1200,48,6
