tag,method,acc,t_fit,t_pred,n_train,n_test,K
idc_pca2d,Linear,0.707165,0.00570890,0.00029499,16000,11877,-
idc_pca2d,kNN,0.743538,0.00693964,0.39109795,16000,11877,-
idc_pca2d,LabelSpreading,0.714659,0.00000000,0.10144874,16000,11877,-
idc_pca2d,GM,0.748337,8.82012864,0.33334365,16000,11877,256
idc_pca2d,GM-flat,0.748421,0.00000000,0.33019370,16000,11877,256
idc_pca2d,GM-instance,0.731666,4.95560306,27.18526220,16000,11877,16000
idc_pca2d,GM-centroid,0.699166,0.00126575,0.10934422,16000,11877,2
idc_pca2d,kNN-budget(P=256),0.747748,0.00086459,0.37961766,256,11877,256
