tag,method,acc,t_fit,t_pred,n_train,n_test,K,n_classes
moons_2class_noise0.35,Linear,0.840000,0.00265470,0.00019614,1200,800,-,2
moons_2class_noise0.35,kNN,0.890000,0.00089952,0.02742502,1200,800,-,2
moons_2class_noise0.35,LP,0.878750,0.00787463,0.00000142,1200,800,-,2
moons_2class_noise0.35,GM,0.871250,0.12907189,0.02300169,1200,800,32,2
moons_2class_noise0.35,GM-flat,0.871250,0.08376183,0.02235846,1200,800,32,2
moons_2class_noise0.35,GM-instance,0.885000,0.02669714,21.04771564,1200,800,1200,2
moons_2class_noise0.35,GM-centroid,0.840000,0.00045232,0.07267917,1200,800,2,2
moons_2class_noise0.25,Linear,0.852500,0.00288112,0.00019686,1200,800,-,2
moons_2class_noise0.25,kNN,0.932500,0.00088022,0.02633342,1200,800,-,2
moons_2class_noise0.25,LP,0.931250,0.00739709,0.00000133,1200,800,-,2
moons_2class_noise0.25,GM,0.913750,0.09562425,0.02271687,1200,800,32,2
moons_2class_noise0.25,GM-flat,0.913750,0.08424878,0.02265177,1200,800,32,2
moons_2class_noise0.25,GM-instance,0.915000,0.01736322,4.93279868,1200,800,1200,2
moons_2class_noise0.25,GM-centroid,0.831250,0.00036044,0.04067226,1200,800,2,2
moons_2class_noise0.18,Linear,0.873750,0.00294957,0.00026675,1200,800,-,2
moons_2class_noise0.18,kNN,0.982500,0.00122632,0.04156494,1200,800,-,2
moons_2class_noise0.18,LP,0.978750,0.01266217,0.00000197,1200,800,-,2
moons_2class_noise0.18,GM,0.971250,0.79844277,0.05867054,1200,800,32,2
moons_2class_noise0.18,GM-flat,0.971250,0.20705070,0.04266068,1200,800,32,2
moons_2class_noise0.18,GM-instance,0.967500,0.02480448,3.51062920,1200,800,1200,2
moons_2class_noise0.18,GM-centroid,0.860000,0.00022895,0.04069653,1200,800,2,2
moons_2class_noise0.12,Linear,0.878750,0.00277249,0.00025391,1200,800,-,2
moons_2class_noise0.12,kNN,0.996250,0.00120643,0.04105912,1200,800,-,2
moons_2class_noise0.12,LP,0.996250,0.01179685,0.00000167,1200,800,-,2
moons_2class_noise0.12,GM,0.992500,0.25156194,0.04261125,1200,800,32,2
moons_2class_noise0.12,GM-flat,0.992500,1.21994185,0.04254237,1200,800,32,2
moons_2class_noise0.12,GM-instance,0.997500,0.01936926,24.83792395,1200,800,1200,2
moons_2class_noise0.12,GM-centroid,0.870000,0.00047585,0.04060416,1200,800,2,2
moons_multiclass_pairs2,Linear,0.870833,0.00932951,0.00031540,1800,1200,-,4
moons_multiclass_pairs2,kNN,0.965000,0.00141213,0.06170255,1800,1200,-,4
moons_multiclass_pairs2,LP,0.963333,0.02114136,0.00000193,1800,1200,-,4
moons_multiclass_pairs2,GM,0.825833,1.16557915,0.04220650,1800,1200,32,4
moons_multiclass_pairs2,GM-flat,0.825833,0.16424236,0.04121735,1800,1200,32,4
moons_multiclass_pairs2,GM-instance,0.970000,0.03828984,29.93131303,1800,1200,1800,4
moons_multiclass_pairs2,GM-centroid,0.831667,0.00059793,0.11132134,1800,1200,4,4
moons_multiclass_pairs3,Linear,0.842500,0.00885646,0.00025690,1800,1200,-,6
moons_multiclass_pairs3,kNN,0.948333,0.00110135,0.04337654,1800,1200,-,6
moons_multiclass_pairs3,LP,0.953333,0.01535062,0.00000178,1800,1200,-,6
moons_multiclass_pairs3,GM,0.834167,0.17058310,0.05167846,1800,1200,48,6
moons_multiclass_pairs3,GM-flat,0.834167,0.16655742,0.04955619,1800,1200,48,6
moons_multiclass_pairs3,GM-instance,0.956667,0.03866749,4.78060775,1800,1200,1800,6
moons_multiclass_pairs3,GM-centroid,0.823333,0.00051991,0.08982838,1800,1200,6,6
moons_multiclass_pairs4,Linear,0.846667,0.33098990,0.00034788,1800,1200,-,8
moons_multiclass_pairs4,kNN,0.958333,0.00142529,0.06213449,1800,1200,-,8
moons_multiclass_pairs4,LP,0.955833,0.02297553,0.00000202,1800,1200,-,8
moons_multiclass_pairs4,GM,0.922500,0.88809359,0.11272958,1800,1200,64,8
moons_multiclass_pairs4,GM-flat,0.922500,1.15980071,0.11104779,1800,1200,64,8
moons_multiclass_pairs4,GM-instance,0.955833,0.06193365,33.85918689,1800,1200,1800,8
moons_multiclass_pairs4,GM-centroid,0.864167,0.00043640,0.10533206,1800,1200,8,8
