tag,method,acc,t_fit,t_pred,n_train,n_test,K
circles_2class_fixed,Linear,0.497500,0.00170169,0.00019293,1800,2000,-
circles_2class_fixed,kNN,0.997500,0.00101975,0.06520021,1800,2000,-
circles_2class_fixed,LabelSpreading,0.997000,0.00000000,0.01384015,1800,2000,-
circles_2class_fixed,GM,0.997000,0.78901936,0.14298842,1800,2000,180
circles_2class_fixed,GM-flat,0.996500,0.00000000,0.13919815,1800,2000,180
circles_2class_fixed,GM-instance,0.997500,0.05852769,0.62622517,1800,2000,1800
circles_2class_fixed,GM-centroid,0.498000,0.00035004,0.10451878,1800,2000,2
circles_2class_fixed,GM→LP(sklearn),0.997000,0.00000000,0.01384015,1800,2000,1800
