tag,method,acc,t_fit,t_pred,n_train,n_test,K
circles_2class_fixed,Linear,0.495000,0.00173989,0.00020104,1200,800,-
circles_2class_fixed,kNN,1.000000,0.00093472,0.02895180,1200,800,-
circles_2class_fixed,LabelSpreading,1.000000,0.00000000,0.00000000,1200,800,-
circles_2class_fixed,GM,1.000000,0.13388095,0.02434650,1200,800,32
circles_2class_fixed,GM-flat,1.000000,0.00000000,0.02328282,1200,800,32
circles_2class_fixed,GM-instance,1.000000,0.02587848,0.20008368,1200,800,1200
circles_2class_fixed,GM-centroid,0.495000,0.00026806,0.04090742,1200,800,2
circles_2class_fixed,GM→LP(sklearn),1.000000,0.00000000,0.00000000,1200,800,1200
circles_2class_fixed,kNN-budget(P=32),0.705000,0.00087630,0.04243781,32,800,32
